time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-19T05:15:20.730Z,35.9031667,-117.7433333,7.71,0.88,ml,14,67,0.07596,0.09,ci,ci38906815,2019-10-19T05:18:47.039Z,"15km ESE of Little Lake, CA",earthquake,0.2,0.73,0.158,10,automatic,ci,ci
2019-10-19T05:13:59.169Z,66.3186,-157.228,0,1.7,ml,,,,1.44,ak,ak019dezzf4k,2019-10-19T05:24:42.535Z,"67km SSW of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-19T05:07:04.240Z,33.4818333,-116.7966667,4.51,0.62,ml,23,71,0.09698,0.18,ci,ci38906807,2019-10-19T05:10:48.992Z,"8km NE of Aguanga, CA",earthquake,0.28,0.58,0.152,17,automatic,ci,ci
2019-10-19T05:03:26.550Z,33.7043333,-116.7336667,17.1,0.93,ml,31,46,0.01763,0.21,ci,ci38906799,2019-10-19T05:07:12.966Z,"4km SSW of Idyllwild, CA",earthquake,0.34,0.58,0.168,29,automatic,ci,ci
2019-10-19T05:03:15.664Z,62.3271,-151.3131,86.1,2,ml,,,,0.42,ak,ak019dezx6k0,2019-10-19T05:11:18.208Z,"62km W of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-10-19T05:03:11.223Z,66.2959,-157.2672,0.9,1.6,ml,,,,0.54,ak,ak019dezx69i,2019-10-19T05:13:59.024Z,"70km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-19T05:02:19.450Z,35.6741667,-117.4808333,4.55,0.89,ml,19,108,0.0474,0.2,ci,ci38906791,2019-10-19T05:05:57.541Z,"12km SW of Searles Valley, CA",earthquake,0.34,0.68,0.124,10,automatic,ci,ci
2019-10-19T04:55:20.540Z,35.6828333,-117.4891667,2.18,0.47,ml,13,127,0.05617,0.14,ci,ci38906663,2019-10-19T04:59:08.292Z,"12km SW of Searles Valley, CA",earthquake,0.34,0.45,0.038,7,automatic,ci,ci
2019-10-19T04:52:52.140Z,35.7056667,-117.5368333,10.46,1.19,ml,27,65,0.08749,0.17,ci,ci38906655,2019-10-19T05:26:30.267Z,"14km WSW of Searles Valley, CA",earthquake,0.35,0.68,0.135,16,automatic,ci,ci
2019-10-19T04:47:53.400Z,35.8245,-117.6341667,11.07,1.69,ml,29,50,0.03105,0.17,ci,ci38906647,2019-10-19T05:26:18.392Z,"22km WNW of Searles Valley, CA",earthquake,0.27,0.42,0.208,26,automatic,ci,ci
